positionId,positionName,companyFullName,companySize,industryField,financeStage,createTime,city,salary,workYear,jobNature,education
6856721,python开发,上海微创软件股份有限公司,2000人以上,企业服务 移动互联网,不需要融资,2020-04-07 20:20:55,上海,12k-23k,3-5年,全职,本科
6630317,DSQ-Python后端开发工程师,顺丰科技有限公司,2000人以上,软件开发 数据服务,不需要融资,2020-04-07 20:17:56,深圳,18k-35k,3-5年,全职,本科
4775802,Python开发工程师-变现业务,北京字节跳动科技有限公司,2000人以上,文娱丨内容,C轮,2020-04-07 20:17:05,北京,25k-40k,1-3年,全职,本科
5998597,监控系统开发工程师-Python&amp;Go,腾讯科技（深圳）有限公司,2000人以上,社交,上市公司,2020-04-07 20:16:19,深圳,16k-30k,3-5年,全职,本科
6799660,信息流-Python开发工程师,北京搜狗科技发展有限公司,2000人以上,工具,上市公司,2020-04-07 20:15:44,北京,20k-40k,不限,全职,本科
6829947,Python开发工程师,杭州同花顺数据开发有限公司,2000人以上,金融 电商,上市公司,2020-04-07 20:11:39,杭州,2k-4k,应届毕业生,实习,本科
4965452,python高级开发工程师,上海牛咖信息科技有限公司,150-500人,移动互联网 社交,A轮,2020-04-07 20:05:57,上海,25k-50k,3-5年,全职,本科
6961523,python,上海海万信息科技股份有限公司,500-2000人,移动互联网 金融,不需要融资,2020-04-07 20:04:26,上海,13k-18k,5-10年,全职,本科
6969831,资深Python工程师,杭州博彦信息技术有限公司,2000人以上,移动互联网 电商,上市公司,2020-04-07 20:03:48,杭州,20k-25k,5-10年,全职,本科
6508423,后端工程师（Python/Golang）,上海赛舵智能科技有限公司,15-50人,企业服务,天使轮,2020-04-07 20:03:24,上海,20k-40k,3-5年,全职,本科
5991452,python开发（海外游戏）,北京智胜新格科技有限公司,150-500人,移动互联网 游戏,不需要融资,2020-04-07 20:02:25,北京,15k-30k,3-5年,全职,本科
6835354,Python工程师,贝壳找房（北京）科技有限公司,2000人以上,房产家居,D轮及以上,2020-04-07 20:00:06,北京,20k-40k,3-5年,全职,本科
6841646,Python后端开发工程师,第四范式（北京）技术有限公司,500-2000人,企业服务,B轮,2020-04-07 19:59:22,北京,25k-45k,3-5年,全职,本科
5743121,python开发工程师,深圳市普特生物医学工程有限公司,150-500人,医疗丨健康,不需要融资,2020-04-07 19:57:25,深圳,15k-24k,3-5年,全职,本科
6941072,python,易宝软件科技（南京）有限公司,150-500人,移动互联网,上市公司,2020-04-07 20:56:06,杭州,12k-24k,3-5年,全职,本科
5312729,服务器端开发工程师（Python/Go）,北京字节跳动科技有限公司,2000人以上,文娱丨内容,C轮,2020-04-07 20:16:59,北京,30k-45k,3-5年,全职,本科
4835899,数据分析平台开发工程师（Python）,腾讯科技（深圳）有限公司,2000人以上,社交,上市公司,2020-04-07 20:16:17,深圳,20k-40k,3-5年,全职,本科
6096855,Python数据开发工程师,上海牛咖信息科技有限公司,150-500人,移动互联网 社交,A轮,2020-04-07 20:05:57,上海,15k-30k,3-5年,全职,本科
5743121,python开发工程师,深圳市普特生物医学工程有限公司,150-500人,医疗丨健康,不需要融资,2020-04-07 19:57:25,深圳,15k-24k,3-5年,全职,本科
6885224,游戏客户端开发（python）,深圳淘乐网络科技有限公司,150-500人,游戏,不需要融资,2020-04-07 19:55:04,深圳,8k-16k,不限,全职,本科
6851956,python开发工程师,开易（北京）科技有限公司,150-500人,数据服务 其他,B轮,2020-04-07 19:49:56,长沙,8k-12k,1-3年,全职,本科
6968985,后端技术负责人（Python）,深圳十方融海科技有限公司,150-500人,移动互联网 教育,A轮,2020-04-07 19:44:46,深圳,20k-27k,5-10年,全职,本科
6884382,Python开发工程师,广州悦谦科技有限公司,50-150人,移动互联网,不需要融资,2020-04-07 19:44:42,广州,15k-30k,1-3年,全职,本科
6935186,python,广州回头车信息科技有限公司,150-500人,消费生活,A轮,2020-04-07 19:44:05,广州,10k-20k,1-3年,全职,本科
6973863,python开发,广州市梦享网络技术有限公司深圳分公司,150-500人,移动互联网 消费生活,B轮,2020-04-07 19:38:16,深圳,10k-15k,1-3年,全职,本科
6541019,python后端(中级）,上海西井信息科技有限公司,150-500人,数据服务 硬件,B轮,2020-04-07 19:34:22,上海,9k-14k,3-5年,全职,本科
